rollout/exploration_rate,time/episodes,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,time/fps,rollout/ep_len_mean,train/loss,train/learning_rate,train/n_updates
0.05,676,1718,-376.32900000000006,1478639,860,2145.78,0.056974492967128754,0.0001,357159
0.05,680,1728,-375.7994000000001,1487318,860,2145.34,0.05083936080336571,0.0001,359329
0.05,684,1739,-374.1657000000001,1495844,860,2145.0,0.05358964577317238,0.0001,361460
0.05,688,1749,-373.43089999999995,1504407,859,2145.12,0.03589234501123428,0.0001,363601
0.05,692,1759,-373.0439,1512932,859,2143.76,0.047397106885910034,0.0001,365732
0.05,696,1770,-372.1439,1521428,859,2143.08,0.020731830969452858,0.0001,367856
0.05,700,1780,-371.09100000000007,1530180,859,2145.28,0.05233880504965782,0.0001,370044
0.05,704,1791,-370.27639999999997,1538901,858,2147.49,0.04240996018052101,0.0001,372225
0.05,708,1802,-367.8144999999999,1547414,858,2146.8,0.03761252015829086,0.0001,374353
0.05,712,1812,-367.28329999999994,1556107,858,2147.41,0.03338921070098877,0.0001,376526
0.05,716,1823,-366.79979999999995,1564838,858,2149.23,0.04494533687829971,0.0001,378709
0.05,720,1833,-366.4245,1573526,857,2149.84,0.03167658671736717,0.0001,380881
0.05,724,1844,-365.5427,1582237,857,2151.06,0.03247570991516113,0.0001,383059
0.05,728,1855,-364.2195,1590970,857,2152.09,0.03530678525567055,0.0001,385242
0.05,732,1865,-363.2109,1599493,857,2151.43,0.05214636027812958,0.0001,387373
0.05,736,1877,-362.1663,1608146,856,2152.94,0.04500389099121094,0.0001,389536
0.05,740,1887,-361.2604,1616639,856,2153.63,0.029593372717499733,0.0001,391659
0.05,744,1897,-360.9074999999999,1625266,856,2153.86,0.03284632787108421,0.0001,393816
0.05,748,1908,-358.9672,1633795,855,2151.81,0.04495327174663544,0.0001,395948
0.05,752,1919,-357.84619999999995,1642431,855,2152.02,0.02215505950152874,0.0001,398107
0.05,756,1930,-356.67560000000003,1650998,855,2151.76,0.04305606707930565,0.0001,400249
0.05,760,1941,-356.01669999999996,1659462,854,2151.08,0.039557185024023056,0.0001,402365
0.05,764,1951,-355.63360000000006,1667932,854,2149.67,0.05231413245201111,0.0001,404482
0.05,768,1962,-355.369,1676429,854,2148.54,0.04101317375898361,0.0001,406607
0.05,772,1973,-353.83160000000004,1684928,853,2148.18,0.04869972914457321,0.0001,408731
0.05,776,1984,-353.2407,1693541,853,2149.02,0.055680565536022186,0.0001,410885
0.05,780,1994,-350.96969999999993,1701985,853,2146.67,0.0507575199007988,0.0001,412996
0.05,784,2005,-350.0343000000001,1710616,852,2147.72,0.03325965628027916,0.0001,415153
0.05,788,2016,-349.3032999999999,1719161,852,2147.54,0.02853562869131565,0.0001,417290
0.05,792,2027,-348.5464,1727706,851,2147.74,0.03414638340473175,0.0001,419426
0.05,796,2037,-349.35159999999996,1736369,852,2149.41,0.027250969782471657,0.0001,421592
0.05,800,2048,-348.9088,1744977,852,2147.97,0.018457816913723946,0.0001,423744
0.05,804,2058,-348.9122,1753608,851,2147.07,0.051311541348695755,0.0001,425901
0.05,808,2068,-348.3908,1762185,851,2147.71,0.04361587017774582,0.0001,428046
0.05,812,2079,-346.69039999999995,1770782,851,2146.75,0.0397951565682888,0.0001,430195
0.05,816,2089,-345.6876,1779447,851,2146.09,0.043492138385772705,0.0001,432361
0.05,820,2100,-344.14420000000007,1788206,851,2146.8,0.04209670051932335,0.0001,434551
0.05,824,2110,-343.30559999999997,1796767,851,2145.3,0.053893737494945526,0.0001,436691
