rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,rollout/exploration_rate,rollout/ep_len_mean,time/episodes,time/fps,train/learning_rate,train/n_updates,train/loss
-384.3858,1358,1182605,0.05,2157.08,540,870,0.0001,283151,0.03497228026390076
-383.7877,1369,1191204,0.05,2157.03,544,870,0.0001,285300,0.0832928717136383
-381.87249999999995,1379,1199695,0.05,2154.76,548,869,0.0001,287423,0.028762180358171463
-380.3677,1389,1208337,0.05,2155.05,552,869,0.0001,289584,0.03657666593790054
-379.3225,1400,1216955,0.05,2154.53,556,869,0.0001,291738,0.0361437164247036
-378.0608,1410,1225487,0.05,2153.35,560,868,0.0001,293871,0.05824217200279236
-375.4486,1420,1234030,0.05,2151.84,564,868,0.0001,296007,0.04999154806137085
-373.90340000000003,1431,1242547,0.05,2151.38,568,868,0.0001,298136,0.040116749703884125
-372.6515,1441,1251101,0.05,2150.04,572,867,0.0001,300275,0.05616459622979164
-371.5884,1452,1259787,0.05,2151.65,576,867,0.0001,302446,0.06739440560340881
-369.745,1462,1268471,0.05,2151.31,580,867,0.0001,304617,0.05093567818403244
-368.5093,1472,1277113,0.05,2152.66,584,867,0.0001,306778,0.04208958521485329
-365.9776,1483,1285621,0.05,2149.89,588,866,0.0001,308905,0.059066906571388245
-364.1753,1493,1294269,0.05,2150.77,592,866,0.0001,311067,0.05836501717567444
-362.80620000000005,1503,1302754,0.05,2149.25,596,866,0.0001,313188,0.09766414761543274
-360.83639999999997,1514,1311420,0.05,2148.8,600,866,0.0001,315354,0.027306951582431793
-360.5384,1524,1319942,0.05,2148.42,604,865,0.0001,317485,0.022709306329488754
-358.8614,1534,1328428,0.05,2147.28,608,865,0.0001,319606,0.03919219598174095
-357.88800000000003,1545,1337049,0.05,2147.54,612,865,0.0001,321762,0.02590317651629448
-357.684,1555,1345730,0.05,2148.69,616,864,0.0001,323932,0.02509300224483013
-356.02899999999994,1566,1354359,0.05,2148.4,620,864,0.0001,326089,0.06573136150836945
-355.9169,1576,1362935,0.05,2148.64,624,864,0.0001,328233,0.04929639771580696
-354.2716,1587,1371532,0.05,2148.78,628,864,0.0001,330382,0.03277396410703659
-353.02130000000005,1597,1380119,0.05,2147.43,632,863,0.0001,332529,0.022532977163791656
-351.8282,1608,1388731,0.05,2146.88,636,863,0.0001,334682,0.052192166447639465
-351.31370000000004,1618,1397370,0.05,2147.65,640,863,0.0001,336842,0.06892566382884979
-349.7092,1628,1405980,0.05,2147.76,644,863,0.0001,338994,0.021881991997361183
-349.115,1639,1414733,0.05,2150.38,648,862,0.0001,341183,0.035232968628406525
-348.22130000000004,1650,1423319,0.05,2149.82,652,862,0.0001,343329,0.038840048015117645
-348.46579999999994,1660,1432151,0.05,2151.96,656,862,0.0001,345537,0.024439139291644096
-347.9925999999999,1671,1440672,0.05,2151.85,660,862,0.0001,347667,0.04401601850986481
-348.44220000000007,1681,1449272,0.05,2152.42,664,861,0.0001,349817,0.11020610481500626
-348.27299999999997,1691,1457739,0.05,2151.92,668,861,0.0001,351934,0.04342961311340332
-348.7676,1702,1466443,0.05,2153.42,672,861,0.0001,354110,0.06072679162025452
-347.5191,1713,1474933,0.05,2151.46,676,860,0.0001,356233,0.07999356836080551
-346.533,1723,1483705,0.05,2152.34,680,860,0.0001,358426,0.053505320101976395
-346.65549999999996,1734,1492382,0.05,2152.69,684,860,0.0001,360595,0.0534525029361248
-345.9095,1744,1501038,0.05,2154.17,688,860,0.0001,362759,0.027606723830103874
-345.5026000000001,1755,1509489,0.05,2152.2,692,860,0.0001,364872,0.033518172800540924
-345.0305,1765,1518022,0.05,2152.68,696,859,0.0001,367005,0.04661865904927254
-344.3368,1776,1526720,0.05,2153.0,700,859,0.0001,369179,0.04958052188158035
-343.099,1786,1535339,0.05,2153.97,704,859,0.0001,371334,0.033368535339832306
-343.11379999999997,1797,1544012,0.05,2155.84,708,858,0.0001,373502,0.026925064623355865
-342.8841,1808,1552672,0.05,2156.23,712,858,0.0001,375667,0.055571991950273514
-341.51329999999996,1818,1561235,0.05,2155.05,716,858,0.0001,377808,0.030889783054590225
-341.1175999999999,1829,1569843,0.05,2154.84,720,858,0.0001,379960,0.04327864572405815
-339.5824,1839,1578480,0.05,2155.45,724,858,0.0001,382119,0.07600761950016022
-339.7528,1850,1587212,0.05,2156.8,728,857,0.0001,384302,0.04276403784751892
-339.53790000000004,1860,1595808,0.05,2156.89,732,857,0.0001,386451,0.036520469933748245
-339.4778,1871,1604435,0.05,2157.04,736,857,0.0001,388608,0.03615698963403702
-339.20060000000007,1882,1613130,0.05,2157.6,740,856,0.0001,390782,0.02766696736216545
-338.7422,1893,1621845,0.05,2158.65,744,856,0.0001,392961,0.0641094520688057
-337.3422,1904,1630476,0.05,2157.43,748,856,0.0001,395118,0.06320134550333023
-337.5461,1915,1638971,0.05,2156.52,752,855,0.0001,397242,0.031080543994903564
-336.57250000000005,1925,1647683,0.05,2155.32,756,855,0.0001,399420,0.03696979209780693
-336.1034,1936,1656269,0.05,2155.97,760,855,0.0001,401567,0.04955081269145012
-336.6081,1947,1665036,0.05,2157.64,764,854,0.0001,403758,0.04788299277424812
-337.1752,1958,1673668,0.05,2159.29,768,854,0.0001,405916,0.04665432497859001
-336.25210000000004,1969,1682344,0.05,2159.01,772,854,0.0001,408085,0.030116837471723557
-336.14169999999996,1980,1690960,0.05,2160.27,776,853,0.0001,410239,0.04043656960129738
-334.7778,1991,1699573,0.05,2158.68,780,853,0.0001,412393,0.027175331488251686
-334.05,2002,1708346,0.05,2159.64,784,853,0.0001,414586,0.051403358578681946
-334.7392,2013,1716996,0.05,2159.58,788,852,0.0001,416748,0.01881655491888523
-334.5294,2024,1725534,0.05,2160.45,792,852,0.0001,418883,0.020360233262181282
-334.9235,2034,1734174,0.05,2161.52,796,852,0.0001,421043,0.04910847172141075
-334.76200000000006,2045,1742784,0.05,2160.64,800,852,0.0001,423195,0.036354854702949524
-335.19190000000003,2055,1751426,0.05,2160.87,804,852,0.0001,425356,0.0518149770796299
-335.0943,2065,1760110,0.05,2160.98,808,852,0.0001,427527,0.0567171648144722
-334.4232,2076,1768698,0.05,2160.26,812,851,0.0001,429674,0.04341260716319084
-335.2198,2086,1777291,0.05,2160.56,816,851,0.0001,431822,0.03831559419631958
-334.63519999999994,2097,1785890,0.05,2160.47,820,851,0.0001,433972,0.03368539735674858
-334.2625,2107,1794526,0.05,2160.46,824,851,0.0001,436131,0.059359513223171234
-333.5096,2117,1803120,0.05,2159.08,828,851,0.0001,438279,0.025698674842715263
-333.30449999999996,2128,1811678,0.05,2158.7,832,851,0.0001,440419,0.032410454005002975
-332.47780000000006,2139,1820260,0.05,2158.25,836,850,0.0001,442564,0.06940865516662598
-332.1853,2165,1828993,0.05,2158.63,840,844,0.0001,444748,0.03868166729807854
-332.14899999999994,2186,1837451,0.05,2156.06,844,840,0.0001,446862,0.027771659195423126
-332.0322,2207,1845969,0.05,2154.93,848,836,0.0001,448992,0.04399993643164635
-331.5727999999999,2225,1854634,0.05,2156.63,852,833,0.0001,451158,0.05645311623811722
-330.6729,2243,1863208,0.05,2155.25,856,830,0.0001,453301,0.06538652628660202
-331.39380000000006,2259,1872001,0.05,2157.32,860,828,0.0001,455500,0.030935948714613914
-329.75739999999996,2275,1880784,0.05,2157.48,864,826,0.0001,457695,0.02783503755927086
-328.96139999999997,2290,1889563,0.05,2158.95,868,824,0.0001,459890,0.01731068454682827
-328.50380000000007,2307,1898167,0.05,2158.23,872,822,0.0001,462041,0.04105129837989807
-327.3342,2322,1906649,0.05,2156.89,876,820,0.0001,464162,0.036715682595968246
-328.0039,2338,1915279,0.05,2157.06,880,818,0.0001,466319,0.018808696419000626
-326.4482,2354,1923741,0.05,2153.95,884,817,0.0001,468435,0.028078101575374603
-325.6587,2370,1932286,0.05,2152.9,888,815,0.0001,470571,0.06065608933568001
-325.73960000000005,2386,1940905,0.05,2153.71,892,813,0.0001,472726,0.025205230340361595
-324.76099999999997,2403,1949621,0.05,2154.47,896,811,0.0001,474905,0.02847953327000141
-323.97900000000004,2419,1958201,0.05,2154.17,900,809,0.0001,477050,0.03584523871541023
-324.1613,2434,1966750,0.05,2153.24,904,807,0.0001,479187,0.029930755496025085
-324.04400000000004,2451,1975283,0.05,2151.73,908,805,0.0001,481320,0.02355371043086052
-323.9289,2468,1983936,0.05,2152.38,912,803,0.0001,483483,0.043630365282297134
-322.35319999999996,2484,1992430,0.05,2151.39,916,802,0.0001,485607,0.055286433547735214
-322.9436,2507,2000911,0.05,2150.21,920,797,0.0001,487727,0.018749553710222244
-323.5191,2534,2009562,0.05,2150.36,924,793,0.0001,489890,0.04382380098104477
-323.33500000000004,2558,2018142,0.05,2150.22,928,788,0.0001,492035,0.04997843876481056
-323.25289999999995,2582,2026703,0.05,2150.25,932,784,0.0001,494175,0.02342817187309265
-322.5152,2605,2035210,0.05,2149.5,936,781,0.0001,496302,0.04088607802987099
-322.2926,2624,2043844,0.05,2148.51,940,778,0.0001,498460,0.038115814328193665
-322.6553,2647,2052468,0.05,2150.17,944,775,0.0001,500616,0.03372729569673538
-322.98569999999995,2664,2061023,0.05,2150.54,948,773,0.0001,502755,0.046136271208524704
-322.8625,2684,2069743,0.05,2151.09,952,770,0.0001,504935,0.056740064173936844
-323.2025,2707,2078254,0.05,2150.46,956,767,0.0001,507063,0.024747150018811226
-321.7263,2722,2086850,0.05,2148.49,960,766,0.0001,509212,0.027117013931274414
-321.77520000000004,2744,2095623,0.05,2148.39,964,763,0.0001,511405,0.03423072770237923
-321.1628,2766,2104207,0.05,2146.44,968,760,0.0001,513551,0.024866189807653427
-321.3255,2787,2112815,0.05,2146.48,972,757,0.0001,515703,0.030262289568781853
-322.2724,2809,2121493,0.05,2148.44,976,755,0.0001,517873,0.009940520860254765
-322.2116,2830,2130115,0.05,2148.36,980,752,0.0001,520028,0.033713292330503464
-322.6492,2847,2138616,0.05,2148.75,984,750,0.0001,522153,0.04132983833551407
-322.69710000000003,2867,2147249,0.05,2149.63,988,748,0.0001,524312,0.4328993558883667
-321.55350000000004,2886,2155876,0.05,2149.71,992,746,0.0001,526468,0.05426723510026932
-321.7718,2904,2164385,0.05,2147.64,996,745,0.0001,528596,0.04437600448727608
-322.3691,2921,2173171,0.05,2149.7,1000,743,0.0001,530792,0.04080670326948166
-321.9063,2939,2181655,0.05,2149.05,1004,742,0.0001,532913,0.020609039813280106
-321.7811,2968,2190170,0.05,2148.87,1008,737,0.0001,535042,0.029829297214746475
-320.7928,2992,2198799,0.05,2148.63,1012,734,0.0001,537199,0.024867376312613487
-321.3607,3012,2207329,0.05,2148.99,1016,732,0.0001,539332,0.03454731032252312
-320.2386,3035,2216004,0.05,2150.93,1020,730,0.0001,541500,0.04880433529615402
-319.34860000000003,3061,2224571,0.05,2150.09,1024,726,0.0001,543642,0.010371972806751728
-319.9944,3088,2233082,0.05,2149.4,1028,722,0.0001,545770,0.02631489746272564
-320.306,3110,2241684,0.05,2149.81,1032,720,0.0001,547920,0.02249962091445923
-320.5283,3130,2250319,0.05,2151.09,1036,718,0.0001,550079,0.03711359202861786
-320.30740000000003,3147,2258831,0.05,2149.87,1040,717,0.0001,552207,0.03892868012189865
-319.9339,3167,2267449,0.05,2149.81,1044,715,0.0001,554362,0.05077742785215378
-320.8056,3185,2276202,0.05,2151.79,1048,714,0.0001,556550,0.04178303852677345
-320.59389999999996,3202,2284673,0.05,2149.3,1052,713,0.0001,558668,0.038749031722545624
-320.35479999999995,3219,2293219,0.05,2149.65,1056,712,0.0001,560804,0.03157956153154373
-320.8067,3236,2301883,0.05,2150.33,1060,711,0.0001,562970,0.03630536422133446
-320.6402,3254,2310453,0.05,2148.3,1064,710,0.0001,565113,0.052303165197372437
-320.7795,3271,2319117,0.05,2149.1,1068,708,0.0001,567279,0.017269641160964966
-321.4448,3288,2327723,0.05,2149.08,1072,707,0.0001,569430,0.027016429230570793
-322.06980000000004,3306,2336228,0.05,2147.35,1076,706,0.0001,571556,0.03431400656700134
-321.7728,3322,2344796,0.05,2146.81,1080,705,0.0001,573698,0.036612894386053085
-322.52700000000004,3340,2353502,0.05,2148.86,1084,704,0.0001,575875,0.05464864894747734
-321.9125,3357,2361934,0.05,2146.85,1088,703,0.0001,577983,0.03918694332242012
-322.69699999999995,3374,2370612,0.05,2147.36,1092,702,0.0001,580152,0.024503014981746674
-323.19030000000004,3392,2379302,0.05,2149.17,1096,701,0.0001,582325,0.029353290796279907
-322.6487,3408,2387936,0.05,2147.65,1100,700,0.0001,584483,0.020693102851510048
-322.02549999999997,3426,2396502,0.05,2148.47,1104,699,0.0001,586625,0.02931809239089489
-322.106,3442,2405181,0.05,2150.11,1108,698,0.0001,588795,0.03535091504454613
-322.9436,3459,2413765,0.05,2149.66,1112,697,0.0001,590941,0.02330916002392769
-322.93360000000007,3477,2422338,0.05,2150.09,1116,696,0.0001,593084,0.052696846425533295
-323.5888,3494,2431105,0.05,2151.01,1120,695,0.0001,595276,0.026038501411676407
-323.5165,3511,2439640,0.05,2150.69,1124,694,0.0001,597409,0.020267484709620476
-322.5062,3528,2448201,0.05,2151.19,1128,693,0.0001,599550,0.06572990119457245
-321.80840000000006,3545,2456790,0.05,2151.06,1132,692,0.0001,601697,0.02603824809193611
-322.44849999999997,3563,2465507,0.05,2151.88,1136,691,0.0001,603876,0.03611375764012337
-322.3055,3579,2474070,0.05,2152.39,1140,691,0.0001,606017,0.02616889774799347
-322.186,3597,2482699,0.05,2152.5,1144,690,0.0001,608174,0.030432341620326042
-321.2131,3614,2491429,0.05,2152.27,1148,689,0.0001,610357,0.047685787081718445
-320.7004,3631,2499911,0.05,2152.38,1152,688,0.0001,612477,0.03120400384068489
-320.7165,3648,2508523,0.05,2153.04,1156,687,0.0001,614630,0.036336760967969894
-320.9628,3665,2517124,0.05,2152.41,1160,686,0.0001,616780,0.04075518622994423
-321.2862,3682,2525711,0.05,2152.58,1164,685,0.0001,618927,0.025390665978193283
-321.478,3699,2534434,0.05,2153.17,1168,685,0.0001,621108,0.034751612693071365
-320.399,3716,2543012,0.05,2152.89,1172,684,0.0001,623252,0.059182263910770416
-319.18240000000003,3734,2551555,0.05,2153.27,1176,683,0.0001,625388,0.02761458232998848
-318.87539999999996,3750,2560044,0.05,2152.48,1180,682,0.0001,627510,0.03590865433216095
-319.34860000000003,3768,2568686,0.05,2151.84,1184,681,0.0001,629671,0.03737437352538109
